Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Justin Jefferson (MIN),128.00,184.00,1809.00,14.10,64.00,49.00,8.00,4.00,24.00,1.00, -   ,17.00,368.60,21.70,99%
2,Tyreek Hill (MIA),119.00,170.00,1710.00,14.40,64.00,45.00,7.00,7.00,32.00,1.00, -   ,17.00,341.20,20.10,100%
3,Davante Adams (LV),100.00,180.00,1516.00,15.20,60.00,47.00,14.00,3.00,-1.00, -   , -   ,17.00,335.50,19.70,100%
4,Stefon Diggs (BUF),110.00,156.00,1455.00,13.20,53.00,35.00,11.00,1.00,-3.00, -   , -   ,17.00,321.20,18.90,100%
5,CeeDee Lamb (DAL),107.00,156.00,1359.00,12.70,39.00,30.00,9.00,10.00,47.00, -   , -   ,17.00,301.60,17.70,100%
6,A.J. Brown (PHI),88.00,145.00,1496.00,17.00,78.00,45.00,11.00, -   , -   , -   ,2.00,17.00,299.60,17.60,100%
7,Amon-Ra St. Brown (DET),106.00,146.00,1161.00,11.00,49.00,15.00,6.00,9.00,95.00, -   , -   ,16.00,267.60,16.70,100%
8,Jaylen Waddle (MIA),75.00,117.00,1356.00,18.10,84.00,41.00,8.00,3.00,26.00, -   ,1.00,17.00,259.20,15.20,100%
9,DeVonta Smith (PHI),95.00,136.00,1196.00,12.60,45.00,30.00,7.00, -   , -   , -   ,1.00,17.00,254.60,15.00,99%
10,Amari Cooper (CLE),78.00,132.00,1160.00,14.90,55.00,31.00,9.00, -   , -   , -   , -   ,17.00,247.00,14.50,97%
11,Ja'Marr Chase (CIN),87.00,134.00,1046.00,12.00,60.00,22.00,9.00,5.00,8.00, -   ,2.00,13.00,242.40,18.60,100%
12,Christian Kirk (JAC),84.00,133.00,1108.00,13.20,49.00,27.00,8.00,5.00,11.00, -   ,1.00,17.00,241.90,14.20,92%
13,Tyler Lockett (SEA),84.00,117.00,1033.00,12.30,40.00,23.00,9.00, -   , -   , -   ,2.00,16.00,237.30,14.80,93%
14,Terry McLaurin (WAS),77.00,120.00,1191.00,15.50,52.00,34.00,5.00,7.00,29.00, -   , -   ,17.00,229.00,13.50,94%
15,Brandon Aiyuk (SF),78.00,114.00,1015.00,13.00,54.00,23.00,8.00,2.00,23.00, -   ,1.00,17.00,227.80,13.40,97%
16,DK Metcalf (SEA),90.00,141.00,1048.00,11.60,54.00,20.00,6.00, -   , -   , -   ,2.00,17.00,226.80,13.30,99%
17,Mike Evans (TB),77.00,127.00,1124.00,14.60,63.00,34.00,6.00, -   , -   , -   , -   ,15.00,225.40,15.00,96%
18,Tee Higgins (CIN),75.00,110.00,1042.00,13.90,59.00,24.00,7.00, -   , -   , -   , -   ,15.00,223.20,14.90,95%
19,Chris Godwin (TB),104.00,142.00,1023.00,9.80,44.00,13.00,3.00,3.00,5.00, -   ,2.00,15.00,222.80,14.90,93%
20,Michael Pittman Jr. (IND),99.00,141.00,925.00,9.30,28.00,8.00,4.00,3.00,30.00, -   ,1.00,16.00,216.50,13.50,94%
21,Garrett Wilson (NYJ),83.00,147.00,1103.00,13.30,60.00,27.00,4.00,4.00,4.00, -   ,1.00,17.00,215.70,12.70,98%
22,Jerry Jeudy (DEN),67.00,100.00,972.00,14.50,67.00,31.00,6.00,4.00,40.00, -   , -   ,15.00,204.20,13.60,78%
23,Cooper Kupp (LAR),75.00,98.00,812.00,10.80,75.00,18.00,6.00,9.00,52.00,1.00,1.00,9.00,201.40,22.40,100%
24,DJ Moore (CHI),63.00,118.00,888.00,14.10,62.00,27.00,7.00,10.00,53.00, -   , -   ,17.00,199.10,11.70,98%
25,Chris Olave (NO),72.00,119.00,1042.00,14.50,53.00,25.00,4.00, -   , -   , -   ,2.00,15.00,198.20,13.20,99%
26,Zay Jones (JAC),82.00,121.00,823.00,10.00,59.00,10.00,5.00,4.00,18.00, -   , -   ,16.00,198.10,12.40,26%
27,JuJu Smith-Schuster (NE),78.00,101.00,933.00,12.00,53.00,18.00,3.00, -   , -   , -   ,2.00,16.00,185.30,11.60,26%
28,Diontae Johnson (PIT),86.00,147.00,882.00,10.30,37.00,10.00, -   ,7.00,25.00, -   , -   ,17.00,180.70,10.60,82%
29,Jakobi Meyers (LV),67.00,96.00,804.00,12.00,48.00,18.00,6.00,2.00,-11.00, -   ,2.00,14.00,180.30,12.90,88%
30,Adam Thielen (CAR),70.00,107.00,716.00,10.20,36.00,8.00,6.00,1.00,4.00, -   , -   ,17.00,180.00,10.60,93%
31,Drake London (ATL),72.00,117.00,866.00,12.00,40.00,15.00,4.00, -   , -   , -   ,3.00,17.00,178.60,10.50,90%
32,Mike Williams (LAC),63.00,93.00,895.00,14.20,55.00,20.00,4.00, -   , -   , -   , -   ,13.00,176.50,13.60,24%
33,Curtis Samuel (WAS),64.00,92.00,656.00,10.30,49.00,13.00,4.00,38.00,187.00,1.00,1.00,17.00,176.30,10.40,49%
34,Tyler Boyd (CIN),59.00,83.00,776.00,13.20,60.00,18.00,6.00, -   , -   , -   , -   ,17.00,175.50,10.30,46%
35,Allen Lazard (NYJ),60.00,100.00,788.00,13.10,47.00,20.00,6.00,2.00, -   , -   , -   ,15.00,174.80,11.70,19%
36,Gabe Davis (BUF),48.00,93.00,836.00,17.40,98.00,20.00,7.00, -   , -   , -   ,1.00,15.00,171.60,11.40,85%
37,Joshua Palmer (LAC),72.00,107.00,769.00,10.70,50.00,12.00,3.00,1.00,4.00, -   , -   ,16.00,169.30,10.60,64%
38,Deebo Samuel (SF),56.00,94.00,632.00,11.30,57.00,11.00,2.00,42.00,232.00,3.00,2.00,13.00,168.40,13.00,98%
39,Donovan Peoples-Jones (CLE),61.00,96.00,839.00,13.80,42.00,21.00,3.00,1.00,2.00, -   ,1.00,17.00,167.10,9.80,3%
40,George Pickens (PIT),52.00,84.00,801.00,15.40,42.00,25.00,4.00,3.00,24.00,1.00, -   ,17.00,166.50,9.80,92%
41,Christian Watson (GB),41.00,65.00,611.00,14.90,63.00,17.00,7.00,7.00,80.00,2.00, -   ,14.00,164.10,11.70,89%
