model_rank,independent_rank,adp,market_gap,independent_market_gap,round,player,position,position_rank,adp_position_rank,adp_position_label,decision_position_label,team,bye,injury,tier,signal,projected_points,projected_ppg_17,independent_points,independent_ppg,independent_expected_points,sleeper_projected_points,sleeper_ppg_17,projection_gap,projected_games,confidence,model_source,reason,team_pass_rank,team_rush_rank,team_pass_rate,own_pass_attempts,sleeper_pass_attempts,own_targets,sleeper_targets,own_carries,sleeper_carries,vbd,independent_vbd,games_2025,points_2025,ppg_2025,rank_2025,player_id,rush_attempts,rush_yards,rush_touchdowns,receptions,targets,receiving_yards,receiving_touchdowns,completions,pass_attempts,pass_yards,pass_touchdowns
3,5,1.1,-1.9,-3.9,1,Jahmyr Gibbs,RB,2,1,RB 1,RB 2,DET,6,,Elite,Fair,318.7,18.7,312.1,18.36,290.8,331.0,19.47,-18.9,15.8,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #10, rush volume #7",10,7,0.562,,,86.4,,267.3,255.0,131.1,121.8,17,366.9,21.6,3,9221,255.0,1251.0,12.0,63.0,,533.0,3.0,,,,
1,3,2.6,1.6,-0.4,1,Bijan Robinson,RB,1,2,RB 2,RB 1,ATL,11,,Elite,Fair,331.7,19.5,335.4,19.73,316.5,325.0,19.12,10.4,16.0,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #17, rush volume #5",17,5,0.545,,,94.7,,302.2,280.0,145.0,145.2,17,370.8,21.8,2,9509,280.0,1372.0,9.0,64.0,,537.0,3.0,,,,
5,4,3.8,-1.2,-0.2,1,Ja'Marr Chase,WR,2,1,WR 1,WR 2,CIN,6,,Elite,Fair,321.7,18.9,327.5,19.26,292.8,311.0,18.29,16.5,15.2,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #1, rush volume #31",1,31,0.625,,,179.9,,3.9,3.0,125.1,131.8,16,313.6,19.6,4,7564,3.0,16.0,,109.0,,1345.0,11.0,,,,
2,1,4.4,2.4,3.4,1,Puka Nacua,WR,1,2,WR 2,WR 1,LAR,11,Ques,Elite,Fair,331.3,19.5,341.2,20.07,326.1,313.0,18.41,28.2,16.2,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #7, rush volume #14",7,14,0.568,,,177.5,,10.7,10.0,142.5,153.5,16,375.0,23.4,1,9493,10.0,55.0,,107.0,,1400.0,10.0,,,,
6,6,5.5,-0.5,-0.5,1,Christian McCaffrey,RB,3,3,RB 3,RB 3,SF,8,Ques,Elite,Fair,313.7,18.5,326.0,19.17,264.3,291.0,17.12,35.0,13.8,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #16, rush volume #9",16,9,0.551,,,102.3,,261.7,240.0,110.5,117.6,17,416.6,24.5,1,4034,240.0,984.0,7.0,70.0,,606.0,4.0,,,,
4,2,6.1,2.1,4.1,1,Jaxon Smith-Njigba,WR,3,3,WR 3,WR 3,SEA,11,,Elite,Fair,317.8,18.7,335.5,19.73,320.7,285.0,16.76,50.5,16.2,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #23, rush volume #21",23,21,0.557,,,180.0,,5.0,6.0,129.6,148.1,17,359.9,21.2,2,9488,6.0,33.0,,99.0,,1343.0,8.0,,,,
9,10,6.1,-2.9,-3.9,1,Jonathan Taylor,RB,4,4,RB 4,RB 4,IND,13,,Elite,Fair,277.4,16.3,280.3,16.49,239.2,272.0,16.0,8.3,14.5,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #21, rush volume #13",21,13,0.554,,,54.8,,316.5,287.0,85.1,84.6,17,362.3,21.3,4,6813,287.0,1385.0,11.0,36.0,,278.0,1.0,,,,
7,7,8.4,1.4,1.4,1,Amon-Ra St. Brown,WR,4,4,WR 4,WR 4,DET,6,,Elite,Fair,291.1,17.1,296.5,17.44,279.1,281.0,16.53,15.5,16.0,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #10, rush volume #7",10,7,0.562,,,159.8,,3.1,3.0,102.9,109.6,17,324.0,19.1,3,7547,3.0,16.0,,106.0,,1249.0,8.0,,,,
18,20,9.5,-8.5,-10.5,1,CeeDee Lamb,WR,7,5,WR 5,WR 7,DAL,14,,Elite,Slight reach,255.6,15.0,247.2,14.54,182.4,271.0,15.94,-23.8,12.5,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #2, rush volume #20",2,20,0.586,,,135.3,,4.4,3.0,54.3,49.3,14,200.9,14.3,22,6786,3.0,16.0,,96.0,,1249.0,8.0,,,,
12,15,10.5,-1.5,-4.5,1,James Cook,RB,7,5,RB 5,RB 7,BUF,7,,Strong starter,Fair,250.4,14.7,244.7,14.39,214.1,261.0,15.35,-16.3,14.9,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #28, rush volume #3",28,3,0.52,,,47.8,,271.6,264.0,63.8,55.7,17,302.2,17.8,6,8138,264.0,1270.0,11.0,31.0,,268.0,2.0,,,,
