adp,player,position,team,bye,injury,projected_points,player_id
89.4,Los Angeles Rams,DEF,LAR,11,,116.0,
94.1,Brandon Aubrey,K,DAL,14,,76.0,11533
101.2,Houston Texans,DEF,HOU,8,,114.0,
106.9,Seattle Seahawks,DEF,SEA,11,,113.0,
118.8,Cameron Dicker,K,LAC,7,,76.0,8259
122.3,Denver Broncos,DEF,DEN,10,,106.0,
125.4,Philadelphia Eagles,DEF,PHI,10,,108.0,
127.9,Jason Myers,K,SEA,11,,76.0,2747
134.6,Ka'imi Fairbairn,K,HOU,8,,78.0,3451
135.3,Cam Little,K,JAX,7,,72.0,11786
136.6,Baltimore Ravens,DEF,BAL,13,,105.0,
142.1,New England Patriots,DEF,NE,11,,102.0,
149.8,Harrison Mevis,K,LAR,11,,76.0,12015
152.9,Minnesota Vikings,DEF,MIN,6,,102.0,
153.5,Detroit Lions,DEF,DET,6,,102.0,
153.8,Andy Borregales,K,NE,11,,71.0,12713
156.7,Chris Boswell,K,PIT,9,,67.0,1945
157.4,Jake Bates,K,DET,6,,75.0,11539
162.5,Pittsburgh Steelers,DEF,PIT,9,,98.0,
170.9,Will Reichard,K,MIN,6,,74.0,11792
172.5,Jacksonville Jaguars,DEF,JAX,7,,101.0,
174.0,Eddy Pineiro,K,SF,8,,71.0,5189
179.4,Los Angeles Chargers,DEF,LAC,7,,96.0,
181.2,Harrison Butker,K,KC,5,,70.0,4227
184.0,Evan McPherson,K,CIN,6,,76.0,7839
197.3,Dallas Cowboys,DEF,DAL,14,,96.0,
201.8,Tyler Loop,K,BAL,13,,76.0,12711
202.9,Green Bay Packers,DEF,GB,11,,96.0,
214.6,Kansas City Chiefs,DEF,KC,5,,97.0,
216.3,Cairo Santos,K,CHI,10,,70.0,2020
219.0,Indianapolis Colts,DEF,IND,13,,94.0,
220.3,Jake Elliott,K,PHI,10,,65.0,4195
221.2,Buffalo Bills,DEF,BUF,7,,94.0,
222.1,San Francisco 49ers,DEF,SF,8,,94.0,
223.4,Chase McLaughlin,K,TB,10,,70.0,6650
226.1,Chicago Bears,DEF,CHI,10,,95.0,
228.4,Atlanta Falcons,DEF,ATL,11,,93.0,
232.4,Tampa Bay Buccaneers,DEF,TB,10,,91.0,
236.9,New York Giants,DEF,NYG,8,,96.0,
238.4,Carolina Panthers,DEF,CAR,5,,91.0,
241.2,Cincinnati Bengals,DEF,CIN,6,,89.0,
